Cl,T1_Re1.000_M0.00_N9.0, , Cl,T1_Re2.000_M0.00_N9.0, , Cl,T1_Re3.000_M0.00_N9.0, , Cl,T1_Re4.000_M0.00_N9.0, , Cl,T1_Re5.000_M0.00_N9.0, , Cl,T1_Re6.000_M0.00_N9.0, , Cl,T1_Re7.000_M0.00_N9.0, , Cl,T1_Re8.000_M0.00_N9.0, , Cl,T1_Re9.000_M0.00_N9.0, , Cl,T1_Re10.000_M0.00_N9.0, , 
   -0.1600172,   0.005403131, ,    -0.2475863,   0.006628152, ,    -0.2261473,   0.006256799, ,    -0.2723741,   0.006352797, ,    -0.2041421,   0.005817063, ,     0.1352467,   0.005408857, ,    0.09021991,   0.005477285, ,    -0.0683294,   0.005793792, ,    -0.2283175,   0.005581635, ,     -0.275003,   0.005612834, , 
   -0.1373865,   0.005392035, ,    -0.2252585,   0.006432308, ,    -0.2033352,   0.006104292, ,    -0.2493838,   0.006253623, ,    -0.1811225,   0.005703129, ,     0.1814483,    0.00560017, ,     0.1126163,   0.005355188, ,   -0.04550301,   0.005839155, ,    -0.2051743,   0.005524124, ,    -0.2517803,    0.00556615, , 
   -0.1146468,    0.00539146, ,    -0.2029012,   0.006230178, ,    -0.1806093,   0.005925194, ,    -0.2265686,   0.006097997, ,    -0.1581347,   0.005597707, ,     0.2043847,   0.005732003, ,     0.1354673,   0.005360346, ,   -0.02274178,   0.005816742, ,      -0.18207,   0.005452706, ,    -0.2286347,   0.005518716, , 
  -0.09168593,   0.005381797, ,    -0.1806461,   0.005992851, ,    -0.1578818,   0.005763377, ,      -0.20378,   0.005944639, ,    -0.1350981,   0.005474613, ,     0.2273856,   0.005842022, ,     0.1585706,    0.00543668, , -1.612397e-09,   0.005791569, ,    -0.1591428,   0.005331649, ,    -0.2054654,   0.005489235, , 
  -0.06863567,   0.005372902, ,     -0.158415,   0.005695811, ,    -0.1351452,   0.005569392, ,    -0.1808306,   0.005819442, ,    -0.1121213,   0.005353875, ,     0.2504587,     0.0059294, ,     0.1817289,   0.005517513, ,    0.02274188,   0.005816741, ,    -0.1364702,   0.005457569, ,    -0.1823601,   0.005426286, , 
   -0.0457228,   0.005369099, ,    -0.1364202,   0.005351902, ,    -0.1125965,   0.005352601, ,    -0.1579432,   0.005678077, ,   -0.08920188,    0.00525048, ,     0.2967048,   0.006074611, ,     0.2046076,   0.005664167, ,     0.0455034,   0.005839152, ,    -0.1138956,   0.005636449, ,    -0.1595844,   0.005384044, , 
   -0.0227999,   0.005356357, ,    -0.1148264,   0.004893398, ,   -0.09020854,   0.005039996, ,    -0.1350342,    0.00554311, ,    -0.0664498,   0.005167745, ,     0.3197975,   0.006150603, ,     0.2277084,   0.005739885, ,    0.06833024,   0.005793788, ,   -0.09133697,   0.005785228, ,    -0.1371115,   0.005561806, , 
-1.205797e-10,   0.005353953, ,   -0.09267802,   0.004640818, ,   -0.06801035,   0.004719722, ,    -0.1121219,   0.005387601, ,   -0.04458477,   0.005164023, ,     0.3429473,   0.006208543, ,     0.2508432,   0.005819874, ,      0.113375,   0.005492065, ,   -0.06855846,   0.005866692, ,   -0.09165929,   0.005852451, , 
   0.02279994,   0.005356356, ,    -0.0695714,   0.004580096, ,   -0.04563707,   0.004467298, ,   -0.08926932,   0.005233336, ,   -0.02238809,   0.005201987, ,     0.3659157,   0.006285203, ,      0.274035,   0.005876862, ,     0.1357918,   0.005354112, ,   -0.04566818,   0.005895727, ,    -0.0687279,   0.005893165, , 
   0.04572298,   0.005369098, ,   -0.04638717,   0.004567096, , -2.925193e-11,   0.004281695, ,   -0.06676655,   0.004996269, ,  -2.31377e-09,     0.0052425, ,     0.3889272,   0.006349173, ,     0.2971402,   0.005948572, ,     0.1588655,   0.005357773, ,   -0.02279763,   0.005904004, ,   -0.04582731,   0.005938439, , 
   0.06863608,   0.005372901, ,   -0.02318484,   0.004566244, ,    0.04563738,   0.004467299, ,   -0.04433174,   0.004772933, ,    0.02238821,   0.005201987, ,     0.4119696,   0.006396865, ,     0.3203341,   0.006006214, ,     0.1819345,   0.005468396, , -3.137517e-09,   0.005836536, ,   -0.02282153,   0.005928132, , 
   0.09168664,   0.005381795, ,  4.851756e-11,   0.004564207, ,    0.06801116,   0.004719726, ,   -0.02198317,   0.004675142, ,    0.04458531,   0.005164022, ,     0.4349672,   0.006451346, ,     0.3664987,   0.006156823, ,     0.2049025,   0.005587665, ,    0.02279772,   0.005904004, , -2.721355e-10,   0.005896725, , 
    0.1146479,   0.005391459, ,    0.02318488,   0.004566244, ,    0.09021015,   0.005040003, , -5.984027e-11,   0.004686187, ,    0.06645116,   0.005167747, ,     0.4807042,   0.006620852, ,     0.3896102,   0.006209205, ,     0.2280191,   0.005651231, ,    0.04566852,   0.005895726, ,    0.02282162,   0.005928131, , 
